(52878, 32737, 17)
,(47456, 63349, 35)
,(85788, 38049, 20)
,(486, 68420, 8)
,(62538, 60599, 29)
,(15940, 20460, 99)
,(4404, 20460, 20)
,(9113, 31051, 23)
,(85266, 32737, 100)
,(90588, 60599, 100)
,(964, 28665, 6)
,(47456, 63349, 25)
,(48411, 32737, 33)
,(78547, 38049, 120)
,(85042, 99786, 40)
,(78918, 14825, 30)
,(17381, 68420, 16)
,(78688, 26038, 60)
,(66566, 38705, 51)
,(39731, 34238, 28)
,(28619, 31012, 12)
,(95221, 94547, 0)
,(69832, 30109, 29)
,(23032, 14825, 2)
,(78918, 38049, 30)
,(1700, 14825, 20)
,(21323, 34238, 17)
,(78918, 63349, 20)
,(63648, 31012, 28)
,(25310, 20594, 57)
,(79254, 99786, 100)
,(59495, 34238, 12)
,(28155, 99115, 6)
,(72796, 60599, 60)
,(69832, 30109, 45)
,(39671, 31012, 12)
,(28503, 32737, 9)
,(14015, 20460, 51)
,(94725, 20460, 0)
,(3683, 20594, 27)
,(96825, 99115, 0)
,(68133, 94547, 3)
,(486, 68420, 8)
,(44305, 38049, 47)
,(486, 20594, 17)
,(79315, 68420, 100)
,(57314, 38049, 8)
,(94725, 14825, 0)
,(12671, 34238, 27)
,(30731, 38705, 22)
,(10582, 20594, 39)
,(31803, 34238, 38)
,(41148, 20594, 22)
,(8670, 31051, 40)
,(94526, 68420, 0)
,(90304, 76247, 60)
,(85042, 99115, 30)
,(49653, 30109, 31)
,(12200, 20460, 14)
,(49727, 14825, 21)
,(10582, 20594, 10)
,(88018, 68420, 30)
,(1755, 28665, 29)
,(35308, 76247, 33)
,(49116, 99786, 17)
,(50325, 20594, 98)
,(20843, 30109, 26)
,(88018, 31012, 40)
,(27705, 68420, 22)
,(56716, 31051, 79)
,(96825, 31012, 0)
,(44539, 20594, 8)
,(76971, 26038, 30)
,(97238, 32737, 0)
,(12754, 34238, 91)
,(8670, 31051, 7)
,(73214, 63349, 80)
,(3683, 38049, 30)
,(31803, 34238, 100)
,(21323, 34238, 42)
,(24185, 31012, 5)
,(85319, 31012, 120)
,(79315, 26038, 30)
,(62538, 60599, 24)
,(96604, 31051, 0)
,(79034, 89314, 100)
,(1755, 28665, 1)
,(97238, 30109, 0)
,(33393, 26038, 40)
,(19635, 20460, 56)
,(21323, 34238, 15)
,(59495, 34238, 42)
,(78552, 26038, 80)
,(81859, 38705, 30)
,(66274, 68420, 92)
,(23032, 94547, 13)
,(76216, 28665, 30)
,(20843, 99115, 22)
,(33538, 99115, 4)
,(39671, 31012, 29)
,(63648, 76247, 48)
,(10582, 20594, 25)
,(54737, 38049, 19)
,(84196, 99786, 120)
,(10582, 99115, 67)
,(1700, 38705, 2)
,(88018, 38049, 30)
,(2751, 99786, 19)
,(964, 28665, 54)
,(18320, 38049, 13)
,(5787, 38705, 6)
,(7680, 38705, 60)
,(48165, 32737, 10)
,(94725, 34238, 0)
,(66274, 68420, 92)
,(48556, 99115, 56)
,(47456, 63349, 30)
,(597, 20594, 33)
,(8670, 31051, 11)
,(64880, 38049, 39)
,(96959, 68420, 0)
,(68133, 94547, 24)
,(48165, 99786, 52)
,(49116, 99786, 48)
,(45237, 99786, 58)
,(19271, 63349, 22)
,(88507, 38705, 20)
,(59495, 34238, 27)
,(25580, 31012, 7)
,(20360, 34238, 24)
,(54234, 76247, 42)
,(26831, 60599, 5)
,(14015, 20460, 40)
,(79315, 99786, 40)
,(76971, 89314, 80)
,(57314, 38049, 2)
,(66539, 76247, 53)
,(2751, 99786, 4)
,(65694, 32737, 43)
,(69832, 30109, 71)
,(64099, 31012, 25)
,(41148, 20594, 5)
,(45908, 34238, 18)
,(48754, 34238, 45)
,(41656, 14825, 39)
,(85788, 68420, 100)
,(94035, 14825, 60)
,(95221, 20594, 0)
,(26988, 38049, 37)
,(65689, 34238, 56)
,(45908, 34238, 8)
,(2938, 34238, 3)
,(85042, 63349, 60)
,(12089, 28665, 5)
,(93258, 99115, 30)
,(36555, 32737, 46)
,(48411, 32737, 8)
,(1755, 28665, 24)
,(78547, 32737, 30)
,(34553, 38705, 14)
,(45831, 63349, 9)
,(66539, 76247, 9)
,(66274, 68420, 17)
,(79254, 31051, 60)
,(486, 68420, 17)
,(95221, 28665, 0)
,(45122, 99115, 28)
,(17381, 68420, 11)
,(74064, 38705, 60)
,(96604, 14825, 0)
,(12200, 20460, 12)
,(19635, 20460, 27)
,(38308, 31051, 31)
,(18428, 99115, 15)
,(14446, 60599, 16)
,(2380, 99786, 104)
,(36555, 32737, 42)
,(59495, 34238, 58)
,(38308, 31051, 25)
,(66530, 76247, 7)
,(66461, 32737, 6)
,(48534, 31051, 73)
,(61481, 32737, 23)
,(68133, 94547, 9)
,(99148, 30109, 0)
,(49727, 14825, 43)
,(66566, 38705, 18)
,(30917, 89314, 3)
,(44539, 20594, 2)
,(59991, 99115, 3)
,(31300, 30109, 20)
,(12200, 89314, 86)
,(597, 20594, 5)
,(42591, 89314, 21)
,(49116, 31012, 38)
,(82861, 31051, 100)
,(48411, 32737, 24)
,(52382, 20594, 17)
,(8352, 99115, 6)
,(85788, 14825, 30)
